2019.06.16 12:54:51.572 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.16 12:54:52.421 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.16 12:54:52.510 INFO  Server.Server - Client excepted: Socket[addr=/192.168.3.1,port=61733,localport=5400]
2019.06.16 12:54:52.509 INFO  Server.Server - Client is connected to server (IP: ziv-PC/192.168.3.1, port: 5400)
2019.06.16 12:54:52.513 INFO  Server.Server - Handling client with socket: Socket[addr=/192.168.3.1,port=61733,localport=5400]
2019.06.16 12:54:52.514 INFO  Server.Server - Server generating 10 by 10 maze
2019.06.16 12:54:52.517 INFO  Server.Server - Finished handle client: Socket[addr=/192.168.3.1,port=61733,localport=5400]
2019.06.16 12:54:53.422 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.16 12:54:53.511 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.16 12:54:54.422 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.16 12:54:54.511 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.16 12:54:55.423 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.16 12:54:55.511 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.16 12:54:56.423 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.16 12:54:56.512 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.16 12:54:57.424 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.16 12:54:57.513 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.16 12:54:58.425 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.16 12:54:58.514 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.16 12:54:59.425 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.16 12:54:59.514 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.16 12:55:00.426 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.16 12:55:00.515 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.16 12:55:01.426 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.16 12:55:01.515 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.16 12:55:02.426 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.16 12:55:02.516 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.16 12:55:03.427 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.16 12:55:03.517 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.16 12:55:04.427 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.16 12:55:04.517 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.16 12:55:05.428 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.16 12:55:05.518 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.16 12:55:06.429 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.16 12:55:06.519 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.16 12:55:07.429 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.16 12:55:07.520 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.16 12:55:07.527 INFO  Server.Server - Client is connected to server (IP: ziv-PC/192.168.3.1, port: 5400)
2019.06.16 12:55:07.527 INFO  Server.Server - Client excepted: Socket[addr=/192.168.3.1,port=61734,localport=5400]
2019.06.16 12:55:07.528 INFO  Server.Server - Handling client with socket: Socket[addr=/192.168.3.1,port=61734,localport=5400]
2019.06.16 12:55:07.529 INFO  Server.Server - Server generating 10 by 10 maze
2019.06.16 12:55:07.531 INFO  Server.Server - Finished handle client: Socket[addr=/192.168.3.1,port=61734,localport=5400]
2019.06.16 12:55:08.430 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.16 12:55:08.528 DEBUG Server.Server - Socket Timeout - No clients pending!
